"'City - Country - IATA': null,",City,Country,IATA
"'Abidjan - Cote d'Ivoire - ABJ': null,",Abidjan,Cote d'Ivoire,ABJ
"'Yamoussoukro - Cote d'Ivoire - ASK': null,",Yamoussoukro,Cote d'Ivoire,ASK
"'Bouake - Cote d'Ivoire - BYK': null,",Bouake,Cote d'Ivoire,BYK
"'Daloa - Cote d'Ivoire - DJO': null,",Daloa,Cote d'Ivoire,DJO
"'Korhogo - Cote d'Ivoire - HGO': null,",Korhogo,Cote d'Ivoire,HGO
"'Man - Cote d'Ivoire - MJC': null,",Man,Cote d'Ivoire,MJC
"'San Pedro - Cote d'Ivoire - SPY': null,",San Pedro,Cote d'Ivoire,SPY
"'Accra - Ghana - ACC': null,",Accra,Ghana,ACC
"'Kumasi - Ghana - KMS': null,",Kumasi,Ghana,KMS
"'Sunyani - Ghana - NYI': null,",Sunyani,Ghana,NYI
"'Takoradi - Ghana - TKD': null,",Takoradi,Ghana,TKD
"'Tamale - Ghana - TML': null,",Tamale,Ghana,TML
"'Kabri Dehar - Ethiopia - ABK': null,",Kabri Dehar,Ethiopia,ABK
"'Addis Ababa - Ethiopia - ADD': null,",Addis Ababa,Ethiopia,ADD
"'Arba Minch - Ethiopia - AMH': null,",Arba Minch,Ethiopia,AMH
"'Asosa - Ethiopia - ASO': null,",Asosa,Ethiopia,ASO
"'Awasa - Ethiopia - AWA': null,",Awasa,Ethiopia,AWA
"'Axum - Ethiopia - AXU': null,",Axum,Ethiopia,AXU
"'Baco - Ethiopia - BCO': null,",Baco,Ethiopia,BCO
"'Beica - Ethiopia - BEI': null,",Beica,Ethiopia,BEI
"'Bahar Dar - Ethiopia - BJR': null,",Bahar Dar,Ethiopia,BJR
"'Debre Marqos - Ethiopia - DBM': null,",Debre Marqos,Ethiopia,DBM
"'Debre Tabor - Ethiopia - DBT': null,",Debre Tabor,Ethiopia,DBT
"'Dembidollo - Ethiopia - DEM': null,",Dembidollo,Ethiopia,DEM
"'Dire Dawa - Ethiopia - DIR': null,",Dire Dawa,Ethiopia,DIR
"'Dessie - Ethiopia - DSE': null,",Dessie,Ethiopia,DSE
"'Gode - Ethiopia - GDE': null,",Gode,Ethiopia,GDE
"'Gondar - Ethiopia - GDQ': null,",Gondar,Ethiopia,GDQ
"'Gambella - Ethiopia - GMB': null,",Gambella,Ethiopia,GMB
"'Goba - Ethiopia - GOB': null,",Goba,Ethiopia,GOB
"'Gore - Ethiopia - GOR': null,",Gore,Ethiopia,GOR
"'Humera - Ethiopia - HUE': null,",Humera,Ethiopia,HUE
"'Jijiga - Ethiopia - JIJ': null,",Jijiga,Ethiopia,JIJ
"'Jimma - Ethiopia - JIM': null,",Jimma,Ethiopia,JIM
"'Lalibella - Ethiopia - LLI': null,",Lalibella,Ethiopia,LLI
"'Mekane Selam - Ethiopia - MKS': null,",Mekane Selam,Ethiopia,MKS
"'Makale - Ethiopia - MQX': null,",Makale,Ethiopia,MQX
"'Mizan Teferi - Ethiopia - MTF': null,",Mizan Teferi,Ethiopia,MTF
"'Debre Zeyit - Ethiopia - QHR': null,",Debre Zeyit,Ethiopia,QHR
"'Tippi - Ethiopia - TIE': null,",Tippi,Ethiopia,TIE
"'Annaba - Algeria - AAE': null,",Annaba,Algeria,AAE
"'Algier - Algeria - ALG': null,",Algier,Algeria,ALG
"'Adrar - Algeria - AZR': null,",Adrar,Algeria,AZR
"'Sidi Bel Abbes - Algeria - BFW': null,",Sidi Bel Abbes,Algeria,BFW
"'Bejaja - Algeria - BJA': null,",Bejaja,Algeria,BJA
"'Batna - Algeria - BLJ': null,",Batna,Algeria,BLJ
"'Bordj Badji Mokhtar - Algeria - BMW': null,",Bordj Badji Mokhtar,Algeria,BMW
"'Biskra - Algeria - BSK': null,",Biskra,Algeria,BSK
"'Bou Saada - Algeria - BUJ': null,",Bou Saada,Algeria,BUJ
"'B̩char - Algeria - CBH': null,",B̩char,Algeria,CBH
"'Ech-cheliff - Algeria - CFK': null,",Ech-cheliff,Algeria,CFK
"'Constantine - Algeria - CZL': null,",Constantine,Algeria,CZL
"'Djanet - Algeria - DJG': null,",Djanet,Algeria,DJG
"'El Golea - Algeria - ELG': null,",El Golea,Algeria,ELG
"'Guemar - Algeria - ELU': null,",Guemar,Algeria,ELU
"'Ghardaia - Algeria - GHA': null,",Ghardaia,Algeria,GHA
"'Jijel - Algeria - GJL': null,",Jijel,Algeria,GJL
"'Hassi Messaoud - Algeria - HME': null,",Hassi Messaoud,Algeria,HME
"'Tilrempt - Algeria - HRM': null,",Tilrempt,Algeria,HRM
"'Zarzaitine - Algeria - IAM': null,",Zarzaitine,Algeria,IAM
"'In Salah - Algeria - INZ': null,",In Salah,Algeria,INZ
"'Laghouat - Algeria - LOO': null,",Laghouat,Algeria,LOO
"'Ghriss - Algeria - MUW': null,",Ghriss,Algeria,MUW
"'Mecheria - Algeria - MZW': null,",Mecheria,Algeria,MZW
"'Ouargla - Algeria - OGX': null,",Ouargla,Algeria,OGX
"'Oran - Algeria - ORN': null,",Oran,Algeria,ORN
"'Djelfa - Algeria - QDJ': null,",Djelfa,Algeria,QDJ
"'Blida - Algeria - QLD': null,",Blida,Algeria,QLD
"'Setif - Algeria - QSF': null,",Setif,Algeria,QSF
"'Oran - Algeria - TAF': null,",Oran,Algeria,TAF
"'Tebessa - Algeria - TEE': null,",Tebessa,Algeria,TEE
"'Touggourt - Algeria - TGR': null,",Touggourt,Algeria,TGR
"'Tiaret - Algeria - TID': null,",Tiaret,Algeria,TID
"'Tindouf - Algeria - TIN': null,",Tindouf,Algeria,TIN
"'Tlemcen - Algeria - TLM': null,",Tlemcen,Algeria,TLM
"'Tamanrasset - Algeria - TMR': null,",Tamanrasset,Algeria,TMR
"'Timimoun - Algeria - TMX': null,",Timimoun,Algeria,TMX
"'Illizi - Algeria - VVZ': null,",Illizi,Algeria,VVZ
"'Assab - Eritrea - ASA': null,",Assab,Eritrea,ASA
"'Asmara - Eritrea - ASM': null,",Asmara,Eritrea,ASM
"'Massawa - Eritrea - MSW': null,",Massawa,Eritrea,MSW
"'Bamako - Mali - BKO': null,",Bamako,Mali,BKO
"'Gao - Mali - GAQ': null,",Gao,Mali,GAQ
"'Sikasso - Mali - KSS': null,",Sikasso,Mali,KSS
"'Kayes - Mali - KYS': null,",Kayes,Mali,KYS
"'Mopti - Mali - MZI': null,",Mopti,Mali,MZI
"'Tombouctou - Mali - TOM': null,",Tombouctou,Mali,TOM
"'Berberati - Central African Republic - BBT': null,",Berberati,Central African Republic,BBT
"'Bangui - Central African Republic - BGF': null,",Bangui,Central African Republic,BGF
"'Banjul - Gambia - BJL': null,",Banjul,Gambia,BJL
"'Bissau - Guinea-Bissau - OXB': null,",Bissau,Guinea-Bissau,OXB
"'Blantyre - Malawi - BLZ': null,",Blantyre,Malawi,BLZ
"'Club Makokola - Malawi - CMK': null,",Club Makokola,Malawi,CMK
"'Kasungu - Malawi - KBQ': null,",Kasungu,Malawi,KBQ
"'Karonga - Malawi - KGJ': null,",Karonga,Malawi,KGJ
"'Likoma Island - Malawi - LIX': null,",Likoma Island,Malawi,LIX
"'Lilongwe - Malawi - LLW': null,",Lilongwe,Malawi,LLW
"'Mzuzu - Malawi - ZZU': null,",Mzuzu,Malawi,ZZU
"'Brazzaville - Congo (Brazzaville) - BZV': null,",Brazzaville,Congo (Brazzaville),BZV
"'Loubomo - Congo (Brazzaville) - DIS': null,",Loubomo,Congo (Brazzaville),DIS
"'Owando - Congo (Kinshasa) - FTX': null,",Owando,Congo (Kinshasa),FTX
"'Ouesso - Congo (Kinshasa) - OUE': null,",Ouesso,Congo (Kinshasa),OUE
"'Pointe-noire - Congo (Brazzaville) - PNR': null,",Pointe-noire,Congo (Brazzaville),PNR
"'Bujumbura - Burundi - BJM': null,",Bujumbura,Burundi,BJM
"'El Arish - Egypt - AAC': null,",El Arish,Egypt,AAC
"'Abu Simbel - Egypt - ABS': null,",Abu Simbel,Egypt,ABS
"'Alexandria - Egypt - ALY': null,",Alexandria,Egypt,ALY
"'Aswan - Egypt - ASW': null,",Aswan,Egypt,ASW
"'Asyut - Egypt - ATZ': null,",Asyut,Egypt,ATZ
"'Cairo - Egypt - CAI': null,",Cairo,Egypt,CAI
"'Cairo - Egypt - CWE': null,",Cairo,Egypt,CWE
"'Dabaa City - Egypt - DBB': null,",Dabaa City,Egypt,DBB
"'El Gorah - Egypt - EGH': null,",El Gorah,Egypt,EGH
"'El-tor - Egypt - ELT': null,",El-tor,Egypt,ELT
"'Sharq Al-Owainat - Egypt - GSQ': null,",Sharq Al-Owainat,Egypt,GSQ
"'Alexandria - Egypt - HBE': null,",Alexandria,Egypt,HBE
"'Sohag - Egypt - HMB': null,",Sohag,Egypt,HMB
"'Hurghada - Egypt - HRG': null,",Hurghada,Egypt,HRG
"'Luxor - Egypt - LXR': null,",Luxor,Egypt,LXR
"'Mersa-matruh - Egypt - MUH': null,",Mersa-matruh,Egypt,MUH
"'Port Said - Egypt - PSD': null,",Port Said,Egypt,PSD
"'Marsa Alam - Egypt - RMF': null,",Marsa Alam,Egypt,RMF
"'St. Catherine - Egypt - SKV': null,",St. Catherine,Egypt,SKV
"'Sharm El Sheikh - Egypt - SSH': null,",Sharm El Sheikh,Egypt,SSH
"'Taba - Egypt - TCP': null,",Taba,Egypt,TCP
"'Agadir - Morocco - AGA': null,",Agadir,Morocco,AGA
"'Al Hociema - Morocco - AHU': null,",Al Hociema,Morocco,AHU
"'Beni Mellal - Morocco - BEM': null,",Beni Mellal,Morocco,BEM
"'Casablanca - Morocco - CMN': null,",Casablanca,Morocco,CMN
"'Er-rachidia - Morocco - ERH': null,",Er-rachidia,Morocco,ERH
"'Essadouira - Morocco - ESU': null,",Essadouira,Morocco,ESU
"'Fes - Morocco - FEZ': null,",Fes,Morocco,FEZ
"'Ben Slimane - Morocco - GMD': null,",Ben Slimane,Morocco,GMD
"'Meknes - Morocco - MEK': null,",Meknes,Morocco,MEK
"'El Aroui - Morocco - NDR': null,",El Aroui,Morocco,NDR
"'Kentira - Morocco - NNA': null,",Kentira,Morocco,NNA
"'Oujda - Morocco - OUD': null,",Oujda,Morocco,OUD
"'Zagora - Morocco - OZG': null,",Zagora,Morocco,OZG
"'Ouarzazate - Morocco - OZZ': null,",Ouarzazate,Morocco,OZZ
"'Marrakech - Morocco - RAK': null,",Marrakech,Morocco,RAK
"'Rabat - Morocco - RBA': null,",Rabat,Morocco,RBA
"'Tanger - Morocco - TNG': null,",Tanger,Morocco,TNG
"'Tan Tan - Morocco - TTA': null,",Tan Tan,Morocco,TTA
"'Tetouan - Morocco - TTU': null,",Tetouan,Morocco,TTU
"'Bouarfa - Morocco - UAR': null,",Bouarfa,Morocco,UAR
"'Conakry - Guinea - CKY': null,",Conakry,Guinea,CKY
"'Faranah - Guinea - FAA': null,",Faranah,Guinea,FAA
"'Fira - Guinea - FIG': null,",Fira,Guinea,FIG
"'Kissidougou - Guinea - KSI': null,",Kissidougou,Guinea,KSI
"'Labe - Guinea - LEK': null,",Labe,Guinea,LEK
"'Bakel - Senegal - BXE': null,",Bakel,Senegal,BXE
"'Cap Skiring - Senegal - CSK': null,",Cap Skiring,Senegal,CSK
"'Dakar - Senegal - DKR': null,",Dakar,Senegal,DKR
"'Kedougou - Senegal - KGG': null,",Kedougou,Senegal,KGG
"'Kaolack - Senegal - KLC': null,",Kaolack,Senegal,KLC
"'Matam - Senegal - MAX': null,",Matam,Senegal,MAX
"'Tambacounda - Senegal - TUD': null,",Tambacounda,Senegal,TUD
"'St. Louis - Senegal - XLS': null,",St. Louis,Senegal,XLS
"'Ziguinchor - Senegal - ZIG': null,",Ziguinchor,Senegal,ZIG
"'Arusha - Tanzania - ARK': null,",Arusha,Tanzania,ARK
"'Bukoba - Tanzania - BKZ': null,",Bukoba,Tanzania,BKZ
"'Dar Es Salaam - Tanzania - DAR': null,",Dar Es Salaam,Tanzania,DAR
"'Dodoma - Tanzania - DOD': null,",Dodoma,Tanzania,DOD
"'Iringa - Tanzania - IRI': null,",Iringa,Tanzania,IRI
"'Kilimanjaro - Tanzania - JRO': null,",Kilimanjaro,Tanzania,JRO
"'Lindi - Tanzania - LDI': null,",Lindi,Tanzania,LDI
"'Lake Manyara - Tanzania - LKY': null,",Lake Manyara,Tanzania,LKY
"'Mafia Island - Tanzania - MFA': null,",Mafia Island,Tanzania,MFA
"'Musoma - Tanzania - MUZ': null,",Musoma,Tanzania,MUZ
"'Mwanza - Tanzania - MWZ': null,",Mwanza,Tanzania,MWZ
"'Mtwara - Tanzania - MYW': null,",Mtwara,Tanzania,MYW
"'Pemba - Tanzania - PMA': null,",Pemba,Tanzania,PMA
"'Seronera - Tanzania - SEU': null,",Seronera,Tanzania,SEU
"'Songea - Tanzania - SGX': null,",Songea,Tanzania,SGX
"'Shinyanga - Tanzania - SHY': null,",Shinyanga,Tanzania,SHY
"'Tabora - Tanzania - TBO': null,",Tabora,Tanzania,TBO
"'Tanga - Tanzania - TGT': null,",Tanga,Tanzania,TGT
"'Kigoma - Tanzania - TKQ': null,",Kigoma,Tanzania,TKQ
"'Zanzibar - Tanzania - ZNZ': null,",Zanzibar,Tanzania,ZNZ
"'Djibouti - Djibouti - JIB': null,",Djibouti,Djibouti,JIB
"'Obock - Djibouti - OBC': null,",Obock,Djibouti,OBC
"'Tadjoura - Djibouti - TDJ': null,",Tadjoura,Djibouti,TDJ
"'Bafoussam - Cameroon - BFX': null,",Bafoussam,Cameroon,BFX
"'Bamenda - Cameroon - BPC': null,",Bamenda,Cameroon,BPC
"'Douala - Cameroon - DLA': null,",Douala,Cameroon,DLA
"'Foumban - Cameroon - FOM': null,",Foumban,Cameroon,FOM
"'Garoua - Cameroon - GOU': null,",Garoua,Cameroon,GOU
"'Maroua - Cameroon - MVR': null,",Maroua,Cameroon,MVR
